timestamp,cme_cpa_deg,cme_width_deg,cme_speed_km_s,is_halo
2019-11-15 15:48:05+00:00,208.0,12.0,276.0,False
2019-11-17 02:24:05+00:00,89.0,56.0,161.0,False
2019-11-17 02:36:05+00:00,269.0,15.0,243.0,False
2019-11-18 23:12:11+00:00,8.0,14.0,354.0,False
2019-11-18 23:12:11+00:00,232.0,22.0,173.0,False
2019-11-19 04:00:05+00:00,9.0,5.0,180.0,False
2019-11-19 15:24:06+00:00,236.0,11.0,344.0,False
2019-11-20 15:05:49+00:00,208.0,11.0,304.0,False
2019-11-20 16:00:05+00:00,285.0,40.0,382.0,False
2019-11-21 07:12:05+00:00,277.0,50.0,145.0,False
2019-11-22 04:18:11+00:00,264.0,29.0,225.0,False
2019-11-22 05:48:05+00:00,145.0,11.0,470.0,False
2019-11-23 19:12:06+00:00,13.0,5.0,435.0,False
2019-11-24 21:48:05+00:00,73.0,23.0,159.0,False
2019-11-24 22:12:07+00:00,253.0,17.0,109.0,False
2019-11-25 16:12:07+00:00,91.0,20.0,243.0,False
2019-11-26 08:48:05+00:00,81.0,26.0,85.0,False
2019-11-26 13:25:43+00:00,288.0,13.0,248.0,False
2019-11-27 03:36:05+00:00,86.0,50.0,169.0,False
2019-11-27 12:36:05+00:00,87.0,48.0,176.0,False
2019-11-28 17:12:05+00:00,206.0,9.0,226.0,False
2019-11-29 23:12:10+00:00,101.0,8.0,288.0,False
2019-11-30 08:48:05+00:00,7.0,10.0,224.0,False
2019-11-30 08:48:05+00:00,90.0,34.0,232.0,False
2019-11-30 19:36:06+00:00,87.0,21.0,296.0,False
2019-12-01 03:24:05+00:00,88.0,36.0,167.0,False
2019-12-01 09:12:10+00:00,126.0,10.0,227.0,False
2019-12-01 12:36:05+00:00,248.0,19.0,98.0,False
2019-12-02 07:36:05+00:00,23.0,5.0,313.0,False
2019-12-02 20:00:05+00:00,115.0,12.0,316.0,False
2019-12-03 05:12:05+00:00,87.0,57.0,241.0,False
2019-12-03 06:48:05+00:00,221.0,9.0,338.0,False
2019-12-03 19:24:05+00:00,100.0,36.0,329.0,False
2019-12-04 03:12:09+00:00,155.0,9.0,490.0,False
2019-12-05 16:00:05+00:00,272.0,26.0,94.0,False
2019-12-05 18:36:06+00:00,123.0,10.0,161.0,False
2019-12-05 19:00:05+00:00,240.0,9.0,165.0,False
2019-12-06 06:12:11+00:00,99.0,46.0,234.0,False
2019-12-06 08:24:06+00:00,106.0,31.0,354.0,False
2019-12-06 16:48:05+00:00,77.0,16.0,255.0,False
2019-12-06 22:36:05+00:00,76.0,9.0,184.0,False
2019-12-06 23:36:05+00:00,109.0,12.0,174.0,False
2019-12-07 16:24:05+00:00,70.0,10.0,225.0,False
